"","Operation","State","Species","Date"
"1","Dairy Milking Cows","California","Cattle","2024-09-13"
"2","Dairy Milking Cows","California","Cattle","2024-09-13"
"3","Dairy Milking Cows","Idaho","Cattle","2024-09-12"
"4","Dairy Milking Cows","Texas","Cattle","2024-09-12"
"5","Dairy Milking Cows","Texas","Cattle","2024-09-11"
"6","Dairy Milking Cows","California","Cattle","2024-09-10"
"7","Dairy Milking Cows","California","Cattle","2024-09-10"
"8","Dairy Milking Cows","California","Cattle","2024-09-09"
"9","Dairy Milking Cows","California","Cattle","2024-09-09"
"10","Dairy Milking Cows","California","Cattle","2024-09-09"
"11","Dairy Milking Cows","Michigan","Cattle","2024-09-09"
"12","Dairy Milking Cows","California","Cattle","2024-08-30"
"13","Dairy Milking Cows","California","Cattle","2024-08-30"
"14","Dairy Milking Cows","California","Cattle","2024-08-30"
"15","Dairy Milking Cows","New Mexico","Cattle","2024-08-28"
"16","Dairy Milking Cows","Michigan","Cattle","2024-08-26"
"17","Dairy Milking Cows","Colorado","Cattle","2024-08-13"
"18","Dairy Milking Cows","Idaho","Cattle","2024-08-13"
"19","Dairy Milking Cows","Colorado","Cattle","2024-08-06"
"20","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"21","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"22","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"23","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"24","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"25","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"26","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"27","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"28","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"29","Dairy Milking Cows","Colorado","Cattle","2024-08-05"
"30","Dairy Milking Cows","Texas","Cattle","2024-08-01"
"31","Dairy Milking Cows","Colorado","Cattle","2024-07-31"
"32","Dairy Milking Cows","South Dakota","Cattle","2024-07-31"
"33","Dairy Milking Cows","South Dakota","Cattle","2024-07-31"
"34","Dairy Milking Cows","Michigan","Cattle","2024-07-30"
"35","Dairy Milking Cows","Texas","Cattle","2024-07-30"
"36","Dairy Milking Cows","Colorado","Cattle","2024-07-29"
"37","Dairy Milking Cows","Colorado","Cattle","2024-07-23"
"38","Dairy Milking Cows","Colorado","Cattle","2024-07-23"
"39","Dairy Milking Cows","Colorado","Cattle","2024-07-22"
"40","Dairy Milking Cows","Colorado","Cattle","2024-07-22"
"41","Dairy Milking Cows","Colorado","Cattle","2024-07-19"
"42","Dairy Milking Cows","Colorado","Cattle","2024-07-19"
"43","Dairy Milking Cows","Minnesota","Cattle","2024-07-19"
"44","Dairy Milking Cows","Colorado","Cattle","2024-07-18"
"45","Dairy Milking Cows","Colorado","Cattle","2024-07-18"
"46","Dairy Milking Cows","Colorado","Cattle","2024-07-16"
"47","Dairy Milking Cows","Colorado","Cattle","2024-07-16"
"48","Dairy Milking Cows","Colorado","Cattle","2024-07-15"
"49","Dairy Milking Cows","Colorado","Cattle","2024-07-15"
"50","Dairy Milking Cows","Colorado","Cattle","2024-07-15"
"51","Dairy Milking Cows","Colorado","Cattle","2024-07-12"
"52","Dairy Milking Cows","Colorado","Cattle","2024-07-11"
"53","Dairy Milking Cows","Idaho","Cattle","2024-07-11"
"54","Dairy Milking Cows","Idaho","Cattle","2024-07-11"
"55","Dairy Milking Cows","Oklahoma","Cattle","2024-07-11"
"56","Dairy Milking Cows","Oklahoma","Cattle","2024-07-11"
"57","Dairy Milking Cows","Colorado","Cattle","2024-07-10"
"58","Dairy Milking Cows","Colorado","Cattle","2024-07-10"
"59","Dairy Milking Cows","Colorado","Cattle","2024-07-10"
"60","Dairy Milking Cows","Colorado","Cattle","2024-07-10"
"61","Dairy Milking Cows","Colorado","Cattle","2024-07-10"
"62","Dairy Milking Cows","Minnesota","Cattle","2024-07-10"
"63","Dairy Milking Cows","Iowa","Cattle","2024-07-09"
"64","Dairy Milking Cows","Colorado","Cattle","2024-07-08"
"65","Dairy Milking Cows","Colorado","Cattle","2024-07-08"
"66","Dairy Milking Cows","Colorado","Cattle","2024-07-08"
"67","Dairy Milking Cows","Michigan","Cattle","2024-07-08"
"68","Dairy Milking Cows","Texas","Cattle","2024-07-08"
"69","Dairy Milking Cows","Minnesota","Cattle","2024-07-02"
"70","Dairy Milking Cows","Colorado","Cattle","2024-07-01"
"71","Dairy Milking Cows","Colorado","Cattle","2024-06-28"
"72","Dairy Milking Cows","Colorado","Cattle","2024-06-28"
"73","Dairy Milking Cows","Colorado","Cattle","2024-06-28"
"74","Dairy Milking Cows","Colorado","Cattle","2024-06-28"
"75","Dairy Milking Cows","Iowa","Cattle","2024-06-28"
"76","Dairy Milking Cows","Colorado","Cattle","2024-06-25"
"77","Dairy Milking Cows","Colorado","Cattle","2024-06-25"
"78","Dairy Milking Cows","Iowa","Cattle","2024-06-25"
"79","Dairy Milking Cows","Colorado","Cattle","2024-06-24"
"80","Dairy Milking Cows","Colorado","Cattle","2024-06-24"
"81","Dairy Milking Cows","Iowa","Cattle","2024-06-24"
"82","Dairy Milking Cows","Colorado","Cattle","2024-06-21"
"83","Dairy Milking Cows","Colorado","Cattle","2024-06-21"
"84","Dairy Milking Cows","Colorado","Cattle","2024-06-21"
"85","Dairy Milking Cows","Colorado","Cattle","2024-06-21"
"86","Dairy Milking Cows","Colorado","Cattle","2024-06-21"
"87","Dairy Milking Cows","Iowa","Cattle","2024-06-21"
"88","Dairy Milking Cows","Iowa","Cattle","2024-06-21"
"89","Dairy Milking Cows","Colorado","Cattle","2024-06-20"
"90","Dairy Milking Cows","Idaho","Cattle","2024-06-20"
"91","Dairy Milking Cows","Colorado","Cattle","2024-06-18"
"92","Dairy Milking Cows","Colorado","Cattle","2024-06-18"
"93","Dairy Milking Cows","Iowa","Cattle","2024-06-18"
"94","Dairy Milking Cows","Iowa","Cattle","2024-06-18"
"95","Dairy Milking Cows","Minnesota","Cattle","2024-06-18"
"96","Dairy Milking Cows","Minnesota","Cattle","2024-06-18"
"97","Dairy Milking Cows","Minnesota","Cattle","2024-06-18"
"98","Dairy Milking Cows","Idaho","Cattle","2024-06-17"
"99","Dairy Milking Cows","Idaho","Cattle","2024-06-17"
"100","Dairy Milking Cows","Idaho","Cattle","2024-06-17"
"101","Dairy Milking Cows","Iowa","Cattle","2024-06-17"
"102","Dairy Milking Cows","Iowa","Cattle","2024-06-17"
"103","Dairy Milking Cows","Texas","Cattle","2024-06-17"
"104","Dairy Milking Cows","Texas","Cattle","2024-06-17"
"105","Dairy Milking Cows","Colorado","Cattle","2024-06-13"
"106","Dairy Milking Cows","Colorado","Cattle","2024-06-13"
"107","Dairy Milking Cows","Colorado","Cattle","2024-06-13"
"108","Dairy Milking Cows","Colorado","Cattle","2024-06-13"
"109","Dairy Milking Cows","Iowa","Cattle","2024-06-13"
"110","Dairy Milking Cows","Colorado","Cattle","2024-06-12"
"111","Dairy Milking Cows","Michigan","Cattle","2024-06-11"
"112","Dairy Milking Cows","Colorado","Cattle","2024-06-10"
"113","Dairy Milking Cows","Idaho","Cattle","2024-06-10"
"114","Dairy Milking Cows","Idaho","Cattle","2024-06-10"
"115","Dairy Milking Cows","Idaho","Cattle","2024-06-10"
"116","Dairy Milking Cows","Iowa","Cattle","2024-06-10"
"117","Dairy Milking Cows","Iowa","Cattle","2024-06-07"
"118","Dairy Milking Cows","Minnesota","Cattle","2024-06-07"
"119","Dairy Milking Cows","Idaho","Cattle","2024-06-06"
"120","Dairy Milking Cows","Minnesota","Cattle","2024-06-06"
"121","Dairy Milking Cows","Wyoming","Cattle","2024-06-06"
"122","Dairy Milking Cows","Minnesota","Cattle","2024-06-05"
"123","Dairy Milking Cows","Texas","Cattle","2024-06-04"
"124","Dairy Milking Cows","Idaho","Cattle","2024-06-03"
"125","Dairy Milking Cows","Texas","Cattle","2024-06-03"
"126","Dairy Milking Cows","Texas","Cattle","2024-06-03"
"127","Dairy Milking Cows","Michigan","Cattle","2024-05-31"
"128","Dairy Milking Cows","South Dakota","Cattle","2024-05-31"
"129","Dairy Milking Cows","Texas","Cattle","2024-05-31"
"130","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"131","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"132","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"133","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"134","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"135","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"136","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"137","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"138","Dairy Milking Cows","Idaho","Cattle","2024-05-30"
"139","Dairy Milking Cows","Michigan","Cattle","2024-05-29"
"140","Dairy Milking Cows","Michigan","Cattle","2024-05-28"
"141","Dairy Milking Cows","Michigan","Cattle","2024-05-28"
"142","Dairy Milking Cows","Idaho","Cattle","2024-05-24"
"143","Dairy Milking Cows","Michigan","Cattle","2024-05-23"
"144","Dairy Milking Cows","South Dakota","Cattle","2024-05-23"
"145","Dairy Milking Cows","Texas","Cattle","2024-05-23"
"146","Dairy Milking Cows","Colorado","Cattle","2024-05-22"
"147","Dairy Milking Cows","Colorado","Cattle","2024-05-22"
"148","Dairy Milking Cows","Michigan","Cattle","2024-05-22"
"149","Dairy Milking Cows","Michigan","Cattle","2024-05-22"
"150","Dairy Milking Cows","Michigan","Cattle","2024-05-22"
"151","Dairy Milking Cows","Michigan","Cattle","2024-05-22"
"152","Dairy Milking Cows","Idaho","Cattle","2024-05-21"
"153","Dairy Milking Cows","Idaho","Cattle","2024-05-21"
"154","Dairy Milking Cows","South Dakota","Cattle","2024-05-20"
"155","Dairy Milking Cows","Texas","Cattle","2024-05-20"
"156","Dairy Milking Cows","South Dakota","Cattle","2024-05-17"
"157","Dairy Milking Cows","Idaho","Cattle","2024-05-16"
"158","Backyard Producer","Idaho","Alpaca","2024-05-16"
"159","Dairy Milking Cows","Michigan","Cattle","2024-05-16"
"160","Dairy Milking Cows","Idaho","Cattle","2024-05-14"
"161","Dairy Milking Cows","Michigan","Cattle","2024-05-14"
"162","Dairy Milking Cows","Michigan","Cattle","2024-05-14"
"163","Dairy Milking Cows","Michigan","Cattle","2024-05-11"
"164","Dairy Milking Cows","Michigan","Cattle","2024-05-11"
"165","Dairy Milking Cows","Idaho","Cattle","2024-05-10"
"166","Dairy Milking Cows","Texas","Cattle","2024-05-09"
"167","Dairy Milking Cows","Colorado","Cattle","2024-05-08"
"168","Dairy Milking Cows","Michigan","Cattle","2024-05-08"
"169","Dairy Milking Cows","Michigan","Cattle","2024-05-08"
"170","Dairy Milking Cows","Michigan","Cattle","2024-05-08"
"171","Dairy Milking Cows","Michigan","Cattle","2024-05-08"
"172","Dairy Milking Cows","Idaho","Cattle","2024-05-07"
"173","Dairy Milking Cows","Colorado","Cattle","2024-04-25"
"174","Dairy Milking Cows","Idaho","Cattle","2024-04-19"
"175","Dairy Milking Cows","Kansas","Cattle","2024-04-17"
"176","Dairy Milking Cows","Michigan","Cattle","2024-04-17"
"177","Dairy Milking Cows","New Mexico","Cattle","2024-04-17"
"178","Dairy Milking Cows","Texas","Cattle","2024-04-17"
"179","Dairy Milking Cows","Michigan","Cattle","2024-04-15"
"180","Dairy Milking Cows","Michigan","Cattle","2024-04-12"
"181","Dairy Milking Cows","Michigan","Cattle","2024-04-12"
"182","Dairy Milking Cows","New Mexico","Cattle","2024-04-10"
"183","Dairy Milking Cows","Texas","Cattle","2024-04-10"
"184","Dairy Milking Cows","New Mexico","Cattle","2024-04-09"
"185","Dairy Milking Cows","North Carolina","Cattle","2024-04-09"
"186","Dairy Milking Cows","South Dakota","Cattle","2024-04-09"
"187","Dairy Milking Cows","Texas","Cattle","2024-04-09"
"188","Dairy Milking Cows","New Mexico","Cattle","2024-04-06"
"189","Dairy Milking Cows","New Mexico","Cattle","2024-04-06"
"190","Dairy Milking Cows","New Mexico","Cattle","2024-04-06"
"191","Dairy Milking Cows","Michigan","Cattle","2024-04-05"
"192","Dairy Milking Cows","Texas","Cattle","2024-04-04"
"193","Dairy Milking Cows","Texas","Cattle","2024-04-04"
"194","Dairy Milking Cows","Idaho","Cattle","2024-04-02"
"195","Dairy Milking Cows","Ohio","Cattle","2024-04-02"
"196","Dairy Milking Cows","Kansas","Cattle","2024-04-01"
"197","Dairy Milking Cows","New Mexico","Cattle","2024-04-01"
"198","Dairy Milking Cows","New Mexico","Cattle","2024-04-01"
"199","Dairy Milking Cows","Texas","Cattle","2024-03-30"
"200","Dairy Milking Cows","Texas","Cattle","2024-03-30"
"201","Dairy Milking Cows","Michigan","Cattle","2024-03-29"
"202","Dairy Milking Cows","Texas","Cattle","2024-03-27"
"203","Dairy Milking Cows","Texas","Cattle","2024-03-27"
"204","Dairy Milking Cows","Texas","Cattle","2024-03-27"
"205","Dairy Milking Cows","Kansas","Cattle","2024-03-26"
"206","Dairy Milking Cows","Kansas","Cattle","2024-03-26"
"207","Dairy Milking Cows","Texas","Cattle","2024-03-26"
"208","Dairy Milking Cows","Texas","Cattle","2024-03-25"
